"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","comorbid_mental?","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","baseline_st_error_active","baseline_st_error_control","new_study_id"
"11",NA,8,"Brent, 1997","1997","cbt","cau",1,"cbt","individual nondirective supportive therapy (NST)","bdi","bdi",4,"self-report",24.3,8.1,37,25.7,7.8,35,5.7,8.6,35,NA,7.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,51.9,NA,NA,NA,"n",NA,"us",NA,15.7,1.3,15.7,1.5,15.6,NA,NA,NA,"mdd",NA,NA,NA,-2.22754491017964,NA,"Brent, 1997_cbt_individual nondirective supportive therapy (NST)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.6,NA,0,63,0.385714285714286,0.128571428571429,0.407936507936508,0.123809523809524,0.0904761904761905,0.136507936507936,NA,0.123809523809524,1.33163179717339,1.31844063737649,"Brent, 1997"
"12",NA,9,"Brent, 1997","1997","other psy","cau",1,"systemic behavior family therapy","individual nondirective supportive therapy (NST)","bdi","bdi",4,"self-report",22.6,8.2,35,25.7,7.8,35,9.1,9.1,29,NA,7.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,78.6,NA,NA,NA,"n",NA,"us",NA,15.4,1.4,15.7,1.5,15.6,NA,NA,NA,"mdd",NA,NA,NA,-1.5606936416185,NA,"Brent, 1997_systemic behavior family therapy_individual nondirective supportive therapy (NST)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.5,NA,0,63,0.358730158730159,0.13015873015873,0.407936507936508,0.123809523809524,0.144444444444444,0.144444444444444,NA,0.123809523809524,1.38605297775477,1.31844063737649,"Brent, 1997"
"13",9,9,"Bristol-Myers Squibb","2002a","Nefazodone","Placebo",0,"Nefazodone","Placebo","CDRS","cdrs",1,"clinician",NA,9.32875,NA,NA,9.29964285714286,NA,NA,10.8323214285714,NA,NA,10.8732142857143,NA,-25.8,NA,NA,-22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,NA,NA,"Bristol-Myers Squibb_2002a_Nefazodone_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,NA,0.0971744791666667,NA,0.0968712797619048,NA,0.112836681547619,NA,0.113262648809524,NA,NA,"Bristol-Myers Squibb, 2002a"
"14",12,12,"Bristol-Myers Squibb","2002b","Nefazodone","Placebo",0,"Nefazodone","Placebo","CDRS","cdrs",1,"clinician",61.2,9.32875,90,58.3,9.29964285714286,93,38,10.8323214285714,NA,36.7,10.8732142857143,NA,-23.2,NA,90,-21.6,NA,93,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","15",NA,NA,-2.30146498733415,-2.1414913957935,"Bristol-Myers Squibb_2002b_Nefazodone_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.460416666666667,0.0971744791666667,0.430208333333333,0.0968712797619048,0.21875,0.112836681547619,0.205208333333333,0.113262648809524,0.983336590743192,0.964328042110198,"Bristol-Myers Squibb, 2002b"
"15",NA,11,"Charkhandeh, 2016","2016","cbt","other ctr",1,"cbt","Reiki","cdi","cdi",5,"self-report",29.46,5.47,65,30,5.37,63,19.94,5.59,65,26.33,5.88,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,0.2,0.0317460317460317,0.2,0.0317460317460317,NA,NA,NA,NA,11,54,NA,NA,NA,"n",NA,"oth",NA,NA,NA,NA,NA,15.26,NA,NA,NA,"mdd",NA,NA,NA,-1.72151898734177,-0.652444444444445,"Charkhandeh, 2016_cbt_Reiki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.52,-3.67,0,54,0.545555555555556,0.101296296296296,0.555555555555556,0.0994444444444444,0.369259259259259,0.103518518518519,0.487592592592593,0.108888888888889,0.67846999820297,0.676556406686517,"Charkhandeh, 2016"
"16",NA,10,"Charkhandeh, 2016","2016","cbt","wl",1,"cbt","wlc","cdi","cdi",5,"self-report",29.46,5.47,65,30.35,5.45,60,19.94,5.59,65,30.38,4.66,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0.246153846153846,0,0.246153846153846,0,NA,NA,NA,NA,10,54,11,0.2,NA,"n",NA,"oth",NA,NA,NA,NA,NA,15.26,NA,NA,NA,"mdd",NA,NA,NA,-1.72151898734177,0.00593471810088973,"Charkhandeh, 2016_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.52,0.0299999999999976,0,54,0.545555555555556,0.101296296296296,0.562037037037037,0.100925925925926,0.369259259259259,0.103518518518519,0.562592592592593,0.0862962962962963,0.67846999820297,0.703591974561014,"Charkhandeh, 2016"
"17",NA,13,"Clarke, 1995","1995","cbt","cau",1,"cbt+cau","cau","ham-d","hamd",2,"clinician",3.55,3.2,55,3.86,3.1,70,1.87,2.5,52,2.91,4.3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,0.363636363636364,0.357142857142857,0.384615384615385,0.367647058823529,NA,NA,NA,NA,13,47.3,25,28,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.3,0.7,NA,NA,"sub",NA,NA,NA,-0.589473684210526,-0.256756756756757,"Clarke, 1995_cbt+cau_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68,-0.95,0,52,0.0682692307692308,0.0615384615384615,0.0742307692307692,0.0596153846153846,0.0359615384615385,0.0480769230769231,0.0559615384615385,0.0826923076923077,0.431487911976475,0.370520868893662,"Clarke, 1995"
"18",NA,17,"Clarke, 1999","1999","cbt","wl",1,"cbt + parenting group","wlc","ham-d","hamd",2,"clinician",15.1,6,32,14.5,5.9,27,6.7,7.1,32,7.7,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,0.5,0.666666666666667,0.5,0.666666666666667,NA,NA,NA,NA,17,71,18,7,NA,"n",NA,"us",NA,NA,NA,NA,NA,16.2,1.3,NA,NA,"mood",NA,NA,NA,-1.2824427480916,-1.05426356589147,"Clarke, 1999_cbt + parenting group_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.4,-6.8,0,52,0.290384615384615,0.115384615384615,0.278846153846154,0.113461538461538,0.128846153846154,0.136538461538462,0.148076923076923,0.134615384615385,1.06066017177982,1.13545552940626,"Clarke, 1999"
"19",NA,14,"Clarke, 1999","1999","cbt","wl",1,"cbt","wlc","ham-d","hamd",2,"clinician",13,5.3,37,14.5,5.9,27,4.6,4.8,37,7.7,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,14,0.648648648648649,0.518518518518518,0.648648648648649,0.518518518518518,NA,NA,NA,NA,14,71,24,7,NA,"n",NA,"us",NA,NA,NA,NA,NA,16.2,1.3,NA,NA,"mood",NA,NA,NA,-1.66336633663366,-1.05426356589147,"Clarke, 1999_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.4,-6.8,0,52,0.25,0.101923076923077,0.278846153846154,0.113461538461538,0.0884615384615385,0.0923076923076923,0.148076923076923,0.134615384615385,0.871314632718394,1.13545552940626,"Clarke, 1999"
"20",NA,21,"Clarke, 2001","2001","cbt","cau",1,"cbt + cau","cau","ham-d","hamd",2,"clinician",3.2,3.4,45,3.1,3.2,49,1.8,2.1,45,2.9,4.6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,15,0.488888888888889,0.306122448979592,0.488888888888889,0.306122448979592,NA,NA,NA,NA,21,64,18,18,NA,"n",NA,"us",NA,14.4,1.4,14.7,1.5,NA,NA,NA,NA,"sub",NA,NA,NA,-0.509090909090909,-0.0512820512820513,"Clarke, 2001_cbt + cau_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4,-0.2,0,52,0.0615384615384615,0.0653846153846154,0.0596153846153846,0.0615384615384615,0.0346153846153846,0.0403846153846154,0.0557692307692308,0.0884615384615385,0.506842074899952,0.457142857142857,"Clarke, 2001"
"21",NA,24,"Clarke, 2002","2002","cbt","cau",1,"cbt + cau","cau","ham-d","hamd",2,"clinician",12,5.3,41,11.4,5,47,5.5,5.2,41,6,5.1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,22,0.560975609756098,0.468085106382979,0.560975609756098,0.468085106382979,NA,NA,NA,NA,24,69,22,22,NA,"n",NA,"us",NA,15.2,1.3,15.3,1.3,NA,NA,NA,NA,"mood",NA,NA,NA,-1.23809523809524,-1.06930693069307,"Clarke, 2002_cbt + cau_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.5,-5.4,0,52,0.230769230769231,0.101923076923077,0.219230769230769,0.0961538461538462,0.105769230769231,0.1,0.115384615384615,0.0980769230769231,0.827720938009612,0.729324957489473,"Clarke, 2002"
"22",NA,27,"De Cuyper, 2004","2004","cbt","wl",1,"cbt","wlc","cdi","cdi",5,"self-report",12.67,6,9,15.27,4.54,11,10.11,6.03,9,11.73,5.66,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0.444444444444444,0.272727272727273,0.444444444444444,0.272727272727273,NA,NA,NA,NA,26,75,2,3,NA,"n",NA,"eu",NA,NA,NA,NA,NA,10,NA,NA,NA,"sub",NA,NA,NA,-0.425602660016625,-0.694117647058823,"De Cuyper, 2004_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.56,-3.54,0,54,0.23462962962963,0.111111111111111,0.282777777777778,0.0840740740740741,0.187222222222222,0.111666666666667,0.217222222222222,0.104814814814815,2,1.36886150438305,"De Cuyper, 2004"
"23",NA,28,"De Jonge-Heesen, 2020","2020","cbt","other ctr",1,"cbt","psychoeducation","cdi","cdi",5,"self-report",16.18,4.92,66,15.68,7.08,64,13.32,7.07,66,14.71,9.06,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,0.212121212121212,0.234375,0.212121212121212,0.234375,NA,NA,NA,NA,27,64,15,14,NA,"n",NA,"eu",NA,NA,NA,NA,NA,13.59,0.68,NA,NA,"cut",NA,NA,NA,-0.477064220183486,-0.120198265179678,"De Jonge-Heesen, 2020_cbt_psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.86,-0.969999999999999,0,54,0.29962962962963,0.0911111111111111,0.29037037037037,0.131111111111111,0.246666666666667,0.130925925925926,0.272407407407407,0.167777777777778,0.605610135618317,0.885,"De Jonge-Heesen, 2020"
"24",NA,29,"De Jonge-Heesen, 2020","2020","cbt","other ctr",1,"cbt","psychoeducation","cdi","cdi",5,"parent_report",20.14,5.54,66,16.78,5.86,64,18.66,6,66,15.09,6.36,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,0.0909090909090909,0.15625,0.0909090909090909,0.15625,NA,NA,NA,NA,28,64,NA,NA,NA,"n",NA,"eu",NA,NA,NA,NA,NA,13.59,0.68,NA,NA,"cut",NA,NA,NA,-0.256499133448874,-0.276595744680851,"De Jonge-Heesen, 2020_cbt_psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48,-1.69,0,54,0.372962962962963,0.102592592592593,0.310740740740741,0.108518518518519,0.345555555555556,0.111111111111111,0.279444444444444,0.117777777777778,0.681926860025503,0.7325,"De Jonge-Heesen, 2020"
"25",NA,30,"Diamond, 2002","2002","other psy","wl",1,"abft (attachment based family therapy)","wlc","bdi","bdi",4,"self-report",23.8,7.4,16,28,7.1,16,11.8,8.8,16,18.5,11.1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0.3125,0.4375,0.3125,0.4375,NA,NA,NA,NA,29,78,9,5,NA,"n",NA,"us",NA,NA,NA,NA,NA,14.9,1.5,NA,NA,"mdd",NA,NA,NA,-1.48148148148148,-1.04395604395604,"Diamond, 2002_abft (attachment based family therapy)_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,-9.5,0,63,0.377777777777778,0.117460317460317,0.444444444444444,0.112698412698413,0.187301587301587,0.13968253968254,0.293650793650794,0.176190476190476,1.85,1.775,"Diamond, 2002"
"26",NA,31,"Diamond, 2010","2010","other psy","cau",1,"Attachment-Based Family Therapy","enhanced cau","bdi-ii","bdi",4,"self-report",33,9.66,35,33,9.37,31,12.6,13.88,35,18.5,15.91,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,18,0.6,0.580645161290323,0.6,0.580645161290323,NA,NA,NA,NA,30,83,NA,NA,NA,"y",NA,"us",NA,15.11,1.41,15.29,1.83,NA,NA,NA,NA,"cut",NA,NA,"suicidality",-1.73322005097706,-1.14715189873418,"Diamond, 2010_Attachment-Based Family Therapy_enhanced cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.4,-14.5,0,63,0.523809523809524,0.153333333333333,0.523809523809524,0.148730158730159,0.2,0.22031746031746,0.293650793650794,0.252539682539683,1.63283802013549,1.68290167999088,"Diamond, 2010"
