"","new_study_id","type","treatment","psy_or_med","baseline_n","cohens_d","baseline_mean","baseline_sd","post_mean","post_sd","perc_baseline_mean","perc_baseline_sd","perc_post_mean","perc_post_sd","arm_effect_size"
"19","Clarke, 1999","wl","wlc",1,27,-1.05426356589147,14.5,5.9,7.7,7,0.278846153846154,0.113461538461538,0.148076923076923,0.134615384615385,"cohens_d_control"
"20","Kahn, 1990","other ctr","Relaxation",1,17,-1.30547818012999,26.94,10.83,12.88,10.71,0.498888888888889,0.200555555555556,0.238518518518519,0.198333333333333,"cohens_d_control"
"21","Kahn, 1990","wl","wlc",1,17,-0.0890302066772653,28.06,9.75,26.94,15.41,0.51962962962963,0.180555555555556,0.498888888888889,0.28537037037037,"cohens_d_control"
"22","Lewinsohn, 1990","wl","wlc",1,19,-0.310456011054814,23.84,11.43,20.47,10.28,0.378412698412698,0.181428571428571,0.324920634920635,0.163174603174603,"cohens_d_control"
"23","Liddle, 1990","other ctr","attention placebo (drama)",1,10,-0.53715308863026,22.3,4.24,19.3,6.93,0.412962962962963,0.0785185185185185,0.357407407407407,0.128333333333333,"cohens_d_control"
"24","Liddle, 1990","wl","wlc",1,10,-0.750246791707799,20.7,3.34,16.9,6.79,0.383333333333333,0.0618518518518519,0.312962962962963,0.125740740740741,"cohens_d_control"
"25","Reynolds, 1986","other ctr","Relaxation training",1,11,-2.18532818532819,17.09,6.36,5.77,4,0.271269841269841,0.100952380952381,0.0915873015873016,0.0634920634920635,"cohens_d_control"
"26","Reynolds, 1986","wl","wlc",1,10,0.184313725490196,16.9,5.48,18.31,9.82,0.268253968253968,0.086984126984127,0.290634920634921,0.155873015873016,"cohens_d_control"
"27","Rossello, 1999","wl","wlc",1,23,-0.670826833073323,20.13,5.99,15.83,6.83,0.372777777777778,0.110925925925926,0.293148148148148,0.126481481481481,"cohens_d_control"
"28","Stallard, 2012","other ctr","attention control",1,374,-0.398104265402843,10.6,4.67,8.5,5.88,0.407692307692308,0.179615384615385,0.326923076923077,0.226153846153846,"cohens_d_control"
"29","Stallard, 2012","cau","cau",1,298,-0.705550329256821,10.56,4.93,6.81,5.7,0.406153846153846,0.189615384615385,0.261923076923077,0.219230769230769,"cohens_d_control"
"30","Stice, 2008","cau","assessment only",1,84,-0.304691618344755,19.6,9.23,16.71,9.74,0.311111111111111,0.146507936507937,0.265238095238095,0.154603174603175,"cohens_d_control"
