"","Column1","study","year","psy_or_med","active_type","control_type","descr_active","descr_control","instrument","rating","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","percent_women","responders_active","responders_control","cuij_responders_active","cuij_responders_control","country","comorbid_mental","comorbid_mental?","diagnosis","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall"
"26",27,"De Cuyper, 2004","2004",1,"cbt","wl","cbt","wlc","cdi","self-report",10.11,6.03,9,11.73,5.66,11,12.67,6,9,15.27,4.54,11,75,4,3,"2","3","eu","n","NA","sub",NA,NA,NA,NA,10,NA
"27",28,"De Jonge-Heesen, 2020","2020",1,"cbt","other ctr","cbt","psychoeducation","cdi","self-report",13.32,7.07,66,14.71,9.06,64,16.18,4.92,66,15.68,7.08,64,64,14,15,"15","14","eu","n","NA","cut",NA,NA,NA,NA,13.59,0.68
"28",29,"De Jonge-Heesen, 2020","2020",1,"cbt","other ctr","cbt","psychoeducation","cdi","parent_report",18.66,6,66,15.09,6.36,64,20.14,5.54,66,16.78,5.86,64,64,6,10,NA,NA,"eu","n","NA","cut",NA,NA,NA,NA,13.59,0.68
"29",30,"Diamond, 2002","2002",1,"other psy","wl","abft (attachment based family therapy)","wlc","bdi","self-report",11.8,8.8,16,18.5,11.1,16,23.8,7.4,16,28,7.1,16,78,5,7,"9","5","us","n","NA","mdd",NA,NA,NA,NA,14.9,1.5
"30",31,"Diamond, 2010","2010",1,"other psy","cau","Attachment-Based Family Therapy","enhanced cau","bdi-ii","self-report",12.6,13.88,35,18.5,15.91,31,33,9.66,35,33,9.37,31,83,21,18,NA,NA,"us","y","suicidality","cut",15.11,1.41,15.29,1.83,NA,NA
"31",34,"Esposito-Smythers, 2019","2019",1,"cbt","cau","cbt","cau","cdi","self-report",13.2,9.3,64,13.8,9.2,62,27,8.7,74,26.3,9.8,73,76,31,33,"25","21","us","y","at least one of the following co-occurring riskfactors: a SA prior to the index admission, NSSI, or a substanceuse disorder","mood",NA,NA,NA,NA,14.91,NA
"32",35,"Fristad, 2019","2019",1,"cbt","other ctr","cbt + placebo","placebo","cdrs-r","clinician",30,9,18,31,11,18,42,9,19,44,13,18,431,2,3,NA,NA,"us","n","NA","mood",11.7,2.1,11.1,2.4,11.6,2.1
"33",36,"Gillham, 2006","2006",1,"cbt","cau","cbt","cau","cdi","self-report",11.55,8.21,112,11.37,7.9,104,13.19,7.81,147,12.57,7.17,124,53,29,23,"31","27","us","n","NA","sub",NA,NA,NA,NA,11.5,NA
"34",37,"Idsoe, 2019","2019",1,"cbt","cau","cbt","cau","ces-d","self-report",26.85,11.82,133,29.55,10.77,95,33.08,9.97,133,32.01,9.75,95,88,26,13,"25","10","eu","n","NA","cut",NA,NA,NA,NA,16.7,1.14
"35",38,"Israel, 2013","2013",1,"other psy","cau","abft (attachment based family therapy)","cau","ham-d","clinician",12.5,7.2,11,19.4,5.2,9,20.6,4.6,11,19.7,5.5,9,55,4,1,"4","0.2","eu","n","NA","mdd",NA,NA,NA,NA,15.6,0.99
"36",39,"Israel, 2013","2013",1,"other psy","cau","abft (attachment based family therapy)","cau","bdi","self-report",22.8,12,11,31.2,8.8,9,31.9,9.1,11,29.7,11.2,9,55,3,0,NA,NA,"eu","n","NA","mdd",NA,NA,NA,NA,15.6,0.99
"37",40,"Kahn, 1990","1990",1,"cbt","wl","cbt","wlc","cdi","self-report",7.29,66.03,17,26.94,15.41,17,31.11,9.58,17,28.06,9.75,17,52,11,1,"11","3","us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"38",41,"Kahn, 1990","1990",1,"cbt","wl","cbt","wlc","rads","self-report",53.44,14.72,17,80.12,13.44,17,87,8.96,17,85.41,10.98,17,52,5,0,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"39",42,"Kahn, 1990","1990",1,"cbt","wl","cbt","wlc","bid","self-report",15.65,10.03,17,29.7,16.66,17,44.65,15.56,17,42.82,13.6,17,52,13,5,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"40",43,"Kahn, 1990","1990",1,"other psy","wl","self-modeling","wlc","cdi","self-report",13.58,7.38,17,26.94,15.41,17,27.18,7.84,17,28.06,9.75,17,52,6,7,"8","3","us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"41",44,"Kahn, 1990","1990",1,"other psy","wl","self-modeling","wlc","rads","self-report",62.12,12,17,80.12,13.44,17,81.65,10.66,17,85.41,10.98,17,52,1,0,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"42",45,"Kahn, 1990","1990",1,"other psy","wl","self-modeling","wlc","bid","self-report",17.59,14.73,17,29.7,16.66,17,52.82,18.45,17,42.82,13.6,17,52,13,10,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"43",46,"Kahn, 1990","1990",1,"cbt","other ctr","cbt","Relaxation","cdi","self-report",7.29,66.03,17,12.88,10.71,17,31.11,9.58,17,26.94,10.83,17,52,10,7,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"44",47,"Kahn, 1990","1990",1,"cbt","other ctr","cbt","Relaxation","rads","self-report",53.44,14.72,17,61.76,14.86,17,87,8.96,17,83.44,8.03,17,52,6,2,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"45",48,"Kahn, 1990","1990",1,"cbt","other ctr","cbt","Relaxation","bid","self-report",15.65,10.03,17,19.18,20.42,17,44.65,15.56,17,38.06,15.26,17,52,12,10,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,12.1,NA
"46",51,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents only","wlc","ces-d","self-report",7.19,4.88,21,12.89,4.74,19,13.29,5.21,21,14.89,4.3,19,61,12,2,NA,NA,"us","n","NA","mood",16.15,0.98,16.28,1.17,NA,NA
"47",52,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents only","wlc","bdi","self-report",10,11.91,21,20.47,10.28,19,21.67,11.34,21,23.84,11.43,19,61,9,2,"11","4","us","n","NA","mood",16.15,0.98,16.28,1.17,NA,NA
"48",53,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents only","wlc","cbcl-d","parent_report",8.95,5.42,21,8.31,4.2,19,13.67,4.03,21,12.84,5.5,19,61,4,8,NA,NA,"us","n","NA","mood",16.15,0.98,16.28,1.17,NA,NA
"49",54,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents + parents","wlc","ces-d","self-report",5.68,4.78,19,12.89,4.74,19,12.84,6.65,19,14.89,4.3,19,65,11,4,NA,NA,"us","n","NA","mood",16.26,1.17,16.28,1.17,NA,NA
"50",55,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents + parents","wlc","bdi","self-report",6.47,8.53,19,20.47,10.28,19,21.26,11.35,19,23.84,11.43,19,65,12,3,"13","4","us","n","NA","mood",16.26,1.17,16.28,1.17,NA,NA
"51",56,"Lewinsohn, 1990","1990",1,"cbt","wl","cwb adolescents + parents","wlc","cbcl-d","parent_report",3.52,2.73,19,8.31,4.2,19,13.05,4.93,19,12.84,5.5,19,65,19,0,NA,NA,"us","n","NA","mood",16.26,1.17,16.28,1.17,NA,NA
"52",57,"Liddle, 1990","1990",1,"cbt","wl","cbt","wlc","cdi","self-report",14.45,6.74,11,16.9,6.79,10,21,4.45,11,20.7,3.34,10,32,2,1,"3","2","au","n","NA","cut",NA,NA,NA,NA,9.2,1.15
"53",58,"Liddle, 1990","1990",1,"cbt","other ctr","cbt (social competence training)","attention placebo (drama)","cdi","self-report",14.45,6.74,11,19.3,6.93,10,21,4.45,11,22.3,4.24,10,32,3,1,NA,NA,"au","n","NA","cut",NA,NA,NA,NA,9.2,1.15
"54",59,"Listug-Lunde, 2013","2013",1,"cbt","cau","cwd","cau","cdi","self-report",14.38,9.93,8,13.25,9.87,8,21,5.29,8,20.37,4.1,8,38,3,3,"3","3","us","n","NA","cut",12.38,0.92,12.5,1.07,NA,NA
"55",60,"Luby, 2012","2012",1,"other psy","other ctr","PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)","psychoeducation","PFCâ€“S","parent_report",30.1,11.3,25,33.7,10.6,18,42.8,5.8,25,39.8,10.3,18,37,7,2,NA,NA,"us","n","NA","mdd",4.56,NA,4.06,NA,NA,NA
"56",61,"Luby, 2012","2012",1,"other psy","other ctr","PCIT-ED intervention (Parent-Child Interaction Therapy Emotion Development)","psychoeducation","PAPA","parent_report",7.6,4,25,7.5,4.7,18,11.3,4.2,25,9,4.7,18,37,8,4,"10","5","us","n","NA","mdd",4.56,NA,4.06,NA,NA,NA
"57",62,"Makover, 2019","2019",1,"other psy","cau","The High School Transition Program (HSTP)","cau","smfq","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,13.5,NA
"58",63,"March, 2004","2004",1,"cbt",NA,"cbt",NA,"cdrs-r","clinician",42.06,9.18,111,NA,NA,NA,59.64,4.52,111,NA,NA,NA,54,12,NA,"10",NA,"us","n","NA","mdd",NA,NA,NA,NA,14.6,1.5
"59",64,"March, 2004","2004",1,"cbt",NA,"cbt",NA,"rads","self-report",67.96,14.18,111,NA,NA,NA,78.69,10.59,111,NA,NA,NA,54,5,NA,NA,NA,"us","n","NA","mdd",NA,NA,NA,NA,14.6,1.5
"60",65,"Martinovic, 2006","2006",1,"cbt","cau","cbt","cau","ham-d","clinician",3.3,1.29,15,5.8,1.98,15,5.9,0.8,16,5.7,0.7,16,68,5,1,"6","1","eu","n","NA","sub",NA,NA,NA,NA,17.4,1.6
"61",66,"Martinovic, 2006","2006",1,"cbt","cau","cbt","cau","bdi","self-report",5.4,2.97,15,7.8,2.66,15,8.2,0.94,16,8.1,0.96,16,68,3,1,NA,NA,"eu","n","NA","sub",NA,NA,NA,NA,17.4,1.6
"62",67,"Martinovic, 2006","2006",1,"cbt","cau","cbt","cau","ces-d","self-report",9.8,4.2,15,13.6,4.64,15,14.1,4.52,16,13.9,4.51,16,68,5,2,NA,NA,"eu","n","NA","sub",NA,NA,NA,NA,17.4,1.6
"63",68,"Moeini, 2019","2019",1,"cbt","cau","DAD (Dorehye Amozeshie Dokhtaran)","NA","ces-d","self-report",18.5,14,64,21.4,15.6,64,24.6,11.7,64,22.3,11.8,64,1,22,21,"21","16","other","n","NA","cut",16.2,0.68,16.5,0.6,NA,NA
"64",69,"Mufson, 1999","1999",1,"ipt","other ctr","ipt","clinical monitoring","ham-d","clinician",6.3,7.7,24,11.8,8.9,24,19.2,7.5,24,18.7,8.6,24,73,17,10,"16","9","us","n","NA","mdd",15.7,1.4,15.9,1.7,NA,NA
"65",70,"Mufson, 1999","1999",1,"ipt","other ctr","ipt","clinical monitoring","bdi","self-report",5.9,8.1,24,12.9,12.6,24,18.8,8.5,24,22.8,10.6,24,73,18,12,NA,NA,"us","n","NA","mdd",15.7,1.4,15.9,1.7,NA,NA
"66",71,"Mufson, 2004","2004",1,"ipt","cau","ipt","cau","ham-d","clinician",8.7,8,34,12.8,8.4,29,18.9,5.9,34,18.3,5,29,84,19,7,"18","10","us","n","NA","mood",15.3,2.1,14.9,1.7,NA,NA
"67",72,"Mufson, 2004","2004",1,"ipt","cau","ipt","cau","bdi","self-report",8.4,11,34,12.3,9.7,29,20.8,8.7,34,21.8,8.5,29,84,23,9,NA,NA,"us","n","NA","mood",15.3,2.1,14.9,1.7,NA,NA
"68",73,"Poole, 2017","2017",1,"other psy","cau","Behaviour Exchange Systems Therapy for adolescent depression (BEST MOOD)","supportive parenting program","smfq","self-report",13.23,1.47,25,13.33,1.44,26,18.8,1.38,27,17.5,1.35,26,73.4,0,0,NA,NA,"au","n",NA,"mood",15,1.3,15.3,1.4,15.2,1.4
"69",74,"Reed, 1994","1994",1,"other psy","other ctr","Structured Learning Therapy (SLT)","art and imagery exercises","bdi","self-report",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6,50,NA,NA,NA,NA,"us","n",NA,"mood",NA,NA,NA,NA,NA,NA
"70",75,"Reed, 1994","1994",1,"other psy","other ctr","Structured Learning Therapy (SLT)","art and imagery exercises","cdi","self-report",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6,50,NA,NA,NA,NA,"us","n",NA,"mood",NA,NA,NA,NA,NA,NA
"71",76,"Reynolds, 1986","1986",1,"cbt","wl","cbt","wlc","bdi","self-report",6.36,3.15,6,18.31,9.82,10,21.11,7.75,9,16.9,5.48,10,63,5,3,"5","2","us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"72",77,"Reynolds, 1986","1986",1,"cbt","wl","cbt","wlc","bid","self-report",16,17.83,6,52.36,14.73,10,50.33,19.6,9,36.9,12.17,10,63,5,0,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"73",78,"Reynolds, 1986","1986",1,"cbt","wl","cbt","wlc","rads","self-report",66.74,7.47,6,81.12,13.46,10,85.67,8.4,9,80.7,3.58,10,63,0,0,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"74",79,"Reynolds, 1986","1986",1,"cbt","other ctr","cbt","Relaxation training","bdi","self-report",6.36,3.15,6,5.77,4,8,21.11,7.75,9,17.09,6.36,11,63,6,6,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"75",80,"Reynolds, 1986","1986",1,"cbt","other ctr","cbt","Relaxation training","bid","self-report",16,17.83,6,19.45,11.97,8,50.33,19.6,9,46.27,20.42,11,63,5,8,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"76",81,"Reynolds, 1986","1986",1,"cbt","other ctr","cbt","Relaxation training","rads","self-report",66.74,7.47,6,65.8,9.52,8,85.67,8.4,9,80.09,6.99,11,63,0,0,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.65,NA
"77",82,"Rohde, 2004","2004",1,"cbt","other ctr","cbt","life skills/tutoring","bdi","self-report",9.6,10.7,44,11.5,11.1,47,16.6,12.8,45,9.6,10.7,48,48,19,9,NA,NA,"us","y","conduct disorder","mdd",15.1,1.5,15.1,1.3,15.1,1.4
"78",83,"Rohde, 2004","2004",1,"cbt","other ctr","cbt","life skills/tutoring","ham-d","clinician",6,6.3,44,8.3,5.4,47,14.2,5.2,45,6,6.3,48,48,24,4,"25","8","us","y","conduct disorder","mdd",15.1,1.5,15.1,1.3,15.1,1.4
"79",84,"Rohde, 2014a","2014",1,"cbt","other ctr","cognitive behavioral intervention (CB)","educational brochure control","K-SADS (adapted)","clinician",1.4,0.32,126,1.5,0.41,124,1.37,0.35,126,1.38,0.36,124,68,0,1,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,15.5,1.2
"80",85,"Rossello, 1999","1999",1,"cbt","wl","cbt","wlc","cdi","self-report",13.28,7.61,21,15.83,6.83,18,20.12,6.95,25,20.13,5.99,23,54,7,4,"7","4","us","n","NA","mood",NA,NA,NA,NA,14.7,1.4
"81",86,"Rossello, 1999","1999",1,"ipt","wl","ipt","wlc","cdi","self-report",10.79,6.51,19,15.83,6.83,18,21.21,7.53,23,20.13,5.99,23,54,8,3,"9","4","us","n","NA","mood",NA,NA,NA,NA,14.7,1.4
"82",87,"Sanford, 2006","2006",1,"other psy","cau","Family Psychoeducation (FPE) + cau","cau","rads","self-report",NA,NA,16,NA,NA,15,NA,NA,16,NA,NA,15,65,NA,NA,NA,NA,"can","n","NA","MDD",15.6,1.1,16.1,1.6,NA,NA
"83",88,"Santomauro, 2016","2016",1,"cbt","wl","cbt","wlc","dass","self-report",17.2,8.95,10,23.93,11.58,10,24.2,8.97,11,21.6,11.03,12,4,2,2,"3","1","au","y","ASD","cut",16,1.33,15.5,1.43,NA,NA
"84",91,"Shirk, 2014","2014",1,"cbt","cau","m-cbt (modified for interpersonal trauma)","cau","bdi-ii","self-report",21.35,11.62,15,19.38,13.47,20,29.85,10.56,20,32.21,12.99,23,83.7,2,12,NA,NA,"us","y","at least one incident of interpersonal trauma (physical, sexual or verbal/emotional abuse)","mood",15.25,1.52,15.69,1.55,15.48,1.53
"85",92,"Shomaker, 2016","2016",1,"cbt","other ctr","cbt","psychoeducation","ces-d","self-report",13.4,NA,61,13.8,NA,58,25.3,7.3,61,24.5,7.5,58,100,NA,NA,NA,NA,"us","n","NA","sub",15,1.6,15.1,1.6,NA,NA
"86",93,"Srivastava, 2020","2020",1,"cbt","cau","cCBT","cau","bdi","self-report",10.5,1.4,10,15.7,5.9,9,26.4,3.4,11,24.3,3.8,10,24,9,2,NA,NA,"oth","n","NA","mdd",16,1.5,16.1,1.3,16.05,1.5
"87",94,"Srivastava, 2020","2020",1,"cbt","cau","cCBT","cau","cdrs-r","self-report",33.7,11.2,10,45.3,9.7,9,67.8,3.1,11,66.9,3.4,10,24,3,0,NA,NA,"oth","n","NA","mdd",16,1.5,16.1,1.3,16.05,1.5
"88",95,"Stallard, 2012","2012",1,"cbt","other ctr","cbt","attention control","smfq","self-report",8.22,6.45,296,8.5,5.88,308,10.64,4.91,392,10.6,4.67,374,65,89,82,NA,NA,"uk","n","NA","cut",14.3,NA,NA,NA,NA,NA
"89",96,"Stallard, 2012","2012",1,"cbt","cau","cbt","cau","smfq","self-report",8.22,6.45,296,6.81,5.7,242,10.64,4.91,392,10.56,4.93,298,65,102,95,"97","90","uk","n","NA","cut",14.3,NA,NA,NA,NA,NA
"90",97,"Stark, 1987","1987",1,"pst","wl","pst","wlc","cdi","self-report",9.04,8.32,10,18.6,9.91,9,22.4,8.47,10,20.11,9.88,9,43,6,1,NA,NA,"us","n","NA","cut",11.1,NA,11.32,NA,11.17,NA
"91",98,"Stark, 1987","1987",1,"pst","wl","pst","wlc","CDS","self-report",55.1,12.18,10,61.09,16.73,9,71.1,10.38,10,67.56,17.8,9,43,1,1,NA,NA,"us","n","NA","cut",11.1,NA,11.32,NA,11.17,NA
"92",99,"Stark, 1987","1987",1,"pst","wl","pst","wlc","cdrs-r","clinician",24.16,6.01,10,28.15,6.21,9,33.5,10.27,10,30.33,6.28,9,43,0,0,"1","0.2","us","n","NA","cut",11.1,NA,11.32,NA,11.17,NA
"93",100,"Stark, 1987","1987",1,"pst","wl","pst","wlc","cbcl-d","parent_report",63.41,10.01,10,67.62,11.15,9,72.33,9.98,10,64,11.28,9,43,0,0,NA,NA,"us","n","NA","cut",11.1,NA,11.32,NA,11.17,NA
"94",101,"Stark, 1987","1987",1,"other psy","wl","self control","wlc","cdi","self-report",8.04,6.65,9,18.6,9.91,9,21.6,5.48,9,20.11,9.88,9,43,5,1,NA,NA,"us","n","NA","cut",11.2,NA,11.32,NA,11.17,NA
"95",102,"Stark, 1987","1987",1,"other psy","wl","self control","wlc","CDS","self-report",50.14,8.68,9,61.09,16.73,9,72.4,10.31,9,67.56,17.8,9,43,0,0,NA,NA,"us","n","NA","cut",11.2,NA,11.32,NA,11.17,NA
"96",103,"Stark, 1987","1987",1,"other psy","wl","self control","wlc","cdrs-r","clinician",22.91,4.36,9,28.15,6.21,9,37.22,8.36,9,30.33,6.28,9,43,0,0,"1","0.2","us","n","NA","cut",11.2,NA,11.32,NA,11.17,NA
"97",104,"Stark, 1987","1987",1,"other psy","wl","self control","wlc","cbcl-d","parent_report",66.91,9.73,9,67.62,11.15,9,69.44,6.77,9,64,11.28,9,43,0,0,NA,NA,"us","n","NA","cut",11.2,NA,11.32,NA,11.17,NA
"98",105,"Stice, 2008","2008",1,"cbt","cau","cbt","assessment only","bdi","self-report",10.77,9.04,89,16.71,9.74,84,20.03,10.35,89,19.6,9.23,84,56,41,22,"42","20","us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
"99",106,"Stice, 2008","2008",1,"cbt","cau","cbt","assessment only","K-SADS","clinician",1.53,0.33,89,1.7,0.36,84,1.87,0.35,89,1.8,0.3,84,56,3,1,NA,NA,"us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
"100",107,"Stice, 2008","2008",1,"cbt","cau","cbt based bibliotherapy","assessment only","bdi","self-report",14.25,8.98,80,16.71,9.74,84,18.2,7.53,80,19.6,9.23,84,56,19,21,NA,NA,"us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
"101",108,"Stice, 2008","2008",1,"cbt","cau","cbt based bibliotherapy","assessment only","K-SADS","clinician",1.6,0.35,80,1.7,0.36,84,1.68,0.31,80,1.8,0.3,84,56,0,2,NA,NA,"us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
