"","Column1","study","year","psy_or_med","active_type","control_type","instrument","primary","hierarchy","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","time","time_weeks","comorbid_mental","comorbid_mental?","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","responders_active","responders_control","responders_active_30","responders_control_30","responders_active_35","responders_control_35"
"44",44,"Keller","2001",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",59,90,NA,42,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,62.4,65.5,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"45",45,"Keller","2001",0,"Imipramine","Placebo","HAM-D",1,1,"clinician",18.11,4.19,95,18.97,4.1,87,9.2,7.85,94,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",55,94,NA,48,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,58.9,65.5,"mdd","12",NA,46,38,64,60,60,67
"46",46,"Keller","2001",0,"Imipramine","Placebo","K-SADS-L",0,0,"clinician",27.54,4.97,95,28.84,4.85,87,17.99,7.79,88,19.27,7.65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,58.9,65.5,"mdd","12",NA,30,19,44,41,46,33
"47",47,"Keller","2001",0,"Imipramine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",49,94,NA,42,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,58.9,65.5,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"48",48,"Klein","1998",0,"Desipramine","Placebo","HAM-D",1,1,"clinician",21.44,3.7,23,21.33,5.2,22,10.23,2.1,18,14.61,2.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",NA,NA,NA,NA,15.66,1.43,67,67,"mdd","missing",NA,8,0,18,10,18,9
"49",49,"Klein","1998",0,"Desipramine","Placebo","BDI",0,0,"clinician",24.62,9.4,23,21.57,11.1,22,12,9.6,16,15.92,9.6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",NA,NA,NA,NA,15.66,1.43,67,67,"mdd","missing",NA,10,4,12,4,12,5
"50",50,"Klein","1998",0,"Desipramine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",12,18,NA,9,18,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",NA,NA,NA,NA,15.66,1.43,67,67,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"51",51,"Kutcher","1994",0,"Desipramine","Placebo","HAM-D",1,1,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",NA,NA,0.48,NA,NA,0.35,"post",6,"n","NA","Canada","15 to 20",NA,NA,NA,NA,17.8,NA,70,70,"mdd","missing",NA,9,7,11,14,14,16
"52",52,"Kutcher","1994",0,"Desipramine","Placebo","HAM-D",1,1,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"Dichotomous outcome variable (well/ill). Final HAM-D score of 7 or less indicated well",NA,NA,0.28,NA,NA,NA,"post",6,"n","NA","Canada","15 to 20",NA,NA,NA,NA,17.8,NA,70,70,"mdd","missing",NA,7,13,10,18,7,13
"53",53,"Kutcher","1994",0,"Desipramine","Placebo","BDI",0,0,"self-report",NA,NA,30,NA,NA,30,13.3,NA,17,17.2,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"n","NA","Canada","15 to 20",NA,NA,NA,NA,17.8,NA,70,70,"mdd","missing",NA,NA,NA,NA,NA,NA,NA
"54",54,"Kye","1996",0,"Amitriptyline","Placebo","K-SADS-L",1,0,"clinician",20.7,4.3,18,18.7,2.2,13,15.7,5.3,12,15.6,4.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"n","NA","USA","12 to 17",14.6,1.8,15.1,2.1,NA,NA,27.7,30.8,"mdd","missing",NA,2,1,6,4,5,4
"55",55,"Kye","1996",0,"Amitriptyline","Placebo","HAM-D",1,1,"clinician",12,4.5,18,13.2,4.1,13,8,4.9,12,8.8,4.5,10,NA,NA,NA,NA,NA,NA,"50% improvement",13,18,NA,11,13,NA,"post",8,"n","NA","USA","12 to 17",14.6,1.8,15.1,2.1,NA,NA,27.7,30.8,"mdd","missing",NA,7,4,7,9,9,4
"56",56,"March","2004",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",58.94,4,109,61.18,4.27,112,36.3,8.18,109,41.77,7.99,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",NA,NA,NA,NA,14.6,1.5,54.4,54.4,"mdd","13",NA,17,12,73,53,71,50
"57",57,"March","2004",0,"Fluoxetine","Placebo","RADS",1,0,"clinician",76.96,9.57,109,81.26,9.22,112,60.58,13.07,109,66.68,11.41,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",NA,NA,NA,NA,14.6,1.5,54.4,54.4,"mdd","13",NA,7,0,32,21,22,8
"58",58,"March","2004",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",66,109,NA,39,112,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",NA,NA,NA,NA,14.6,1.5,54.4,54.4,"mdd","13",NA,NA,NA,NA,NA,NA,NA
"59",59,"Paxil (GlaxoSmithKline)","2009",0,"Paroxetine","Placebo","CDRS",1,1,"clinician",NA,NA,29,NA,NA,27,NA,NA,29,NA,NA,27,-16.5,13.19,29,-11.9,13.2,27,NA,NA,NA,NA,NA,NA,NA,"post",8,"n","NA","Japan","7 to 17",14.4,1.99,14.8,2.62,NA,NA,55.2,66.7,"mdd","33",NA,NA,NA,NA,NA,NA,NA
"60",60,"Paxil (GlaxoSmithKline)","2009",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",15,29,NA,11,27,NA,"post",8,"n","NA","Japan","7 to 17",14.4,1.99,14.8,2.62,NA,NA,55.2,66.7,"mdd","33",NA,NA,NA,NA,NA,NA,NA
