"","Column1","study","year","psy_or_med","active_type","control_type","instrument","primary","hierarchy","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","time","time_weeks","comorbid_mental","comorbid_mental?","country","age_group","active_mean_age","control_mean_age","active_percent_women","control_percent_women","diagnosis","Notes","responders_active","responders_control","responders_active_30","responders_control_30","responders_active_35","responders_control_35"
"11",11,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",NA,NA,0.63,NA,NA,0.44,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"12",12,"Bristol-Myers Squibb","2002b",0,"Nefazodone","Placebo","CDRS",1,1,"clinician",61.2,NA,90,58.3,NA,93,NA,NA,NA,NA,NA,NA,-23.2,NA,90,-21.6,NA,93,"missing",NA,NA,NA,NA,NA,NA,"post",8,"missing","missing","USA","missing",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"13",13,"Emslie","1997.0",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",58.5,10.5,48,57.6,10.4,48,38.4,14.8,34,47.1,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,12.5,46,46,"mdd",NA,13,4,21,10,14,8
"14",14,"Emslie","1997.0",0,"Fluoxetine","Placebo","CDI/BDI *",0,0,"clinician",15.8,10.6,48,15.3,11.9,48,9.9,12,34,11.2,10.8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,12.5,46,46,"mdd","*For CDI and BDI Baseline/post-test measures were reported together: CDI/BDI, baseline 15.8, post-test 9.9. But only children (≤12yo) completed the CDI and only adolescents (≥13yo) completed the BDI",10,7,17,9,13,12
"15",15,"Emslie","1997.0",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",27,48,NA,16,48,NA,"post",8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,12.5,46,46,"mdd",NA,NA,NA,NA,NA,NA,NA
"16",16,"Emslie","2002a",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",57.1,9.9,109,55.1,11.8,110,35.1,13.5,109,40.2,13.5,105,NA,NA,NA,NA,NA,NA,"30% improvement in CDRS",71,109,NA,54,101,NA,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,12.7,49.5,49.5,"mdd",NA,29,20,68,44,72,31
"17",17,"Emslie","2002a",0,"Fluoxetine","Placebo","MADRS",0,0,"clinician",21.6,7.5,109,21.5,8.3,110,11.2,9,109,13.9,8.2,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,12.7,49.5,49.5,"mdd",NA,52,39,66,49,57,46
"18",18,"Emslie","2002a",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",57,109,0.523,NA,NA,0.368,"post",9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,12.7,49.5,49.5,"mdd",NA,NA,NA,NA,NA,NA,NA
"19",19,"Emslie","2002b",0,"Nefazadone","Placebo","CDRS",1,1,"clinician",NA,NA,99,NA,NA,96,NA,NA,99,NA,NA,96,-26.5,NA,99,-22.5,NA,96,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"20",20,"Emslie","2002b",0,"Nefazadone","Placebo","HAM-D",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,99,-8.2,NA,96,NA,NA,NA,NA,NA,NA,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"21",21,"Emslie","2002b",0,"Nefazadone","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",61,99,NA,40,96,NA,"post",8,"missing","NA","USA","12 to 17",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"22",22,"Emslie","2006.0",0,"Paroxetine","Placebo","CDRS",1,1,"clinician",60.7,9.37,101,62.6,8.96,102,NA,NA,101,NA,NA,100,-22.58,14.77,101,-23.38,16,100,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","adhd","USA + Canada","7 to 17",12,12,46.8,46.8,"mdd","adhd was the most prevalent psychiatric condition, but others were not listed.",NA,NA,NA,NA,NA,NA
"23",23,"Emslie","2006.0",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",49,101,NA,46,100,NA,"post",8,"y","adhd","USA + Canada","7 to 17",12,12,46.8,46.8,"mdd",NA,NA,NA,NA,NA,NA,NA
"24",24,"Emslie","2007a",0,"Venlafaxine ER","Placebo","CDRS",1,1,"clinician",54.4,NA,80,54.4,NA,85,36.3,13.19,68,38.3,12.82,73,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",43,68,NA,37,73,NA,"post",8,"n","NA","USA","7 to 17",NA,NA,NA,NA,"mdd","*In this study, there were two trials (two groups of fluox, two groups of placebo). CDRS scores were reported per trial (fluox v placebo; fluox v placebo)",22,15,35,34,35,30
"25",25,"Emslie","2007b",0,"Venlafaxine ER","Placebo","CDRS",1,1,"clinician",57.3,NA,102,57.3,NA,94,32.7,13.06,101,34.5,13.43,92,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",77,101,NA,62,92,NA,"post",8,"n","NA","USA","7 to 17",NA,NA,NA,NA,"mdd","*Did not report demographics (e.g. mean age, % of women) per trial. Instead, demographics were reported for the two trials combined, hence the (combined)",30,32,73,64,64,51
"26",26,"Emslie","2007 (combined)",0,"Venlafaxine ER","Placebo","MADRS",0,0,"clinician",25.6,6.6,168,25.1,6.1,169,NA,NA,160,NA,NA,161,NA,NA,NA,NA,NA,NA,"50% improvement from baseline score",81,160,NA,75,161,NA,"post",8,"n","NA","USA","7 to 17",12.2,12.3,44,47,"mdd","*Did not report secondary outcome measures per trial. Instead they reported MADRS & HAM-D scores for the combined population, hence why n is larger.",NA,NA,NA,NA,NA,NA
"27",27,"Emslie","2007 (combined)",0,"Venlafaxine ER","Placebo","HAM-D",0,0,"clinician",18.2,5.6,168,18.1,5.6,169,NA,NA,166,NA,NA,162,NA,NA,NA,NA,NA,NA,"50% improvement from baseline score",85,166,NA,79,162,NA,"post",8,"n","NA","USA","7 to 17",12.2,12.3,44,47,"mdd",NA,NA,NA,NA,NA,NA,NA
"28",28,"Emslie","2009.0",0,"Escitalopram","Placebo","CDRS",1,1,"clinician",57.6,8.19,154,56,8.27,157,NA,NA,NA,NA,NA,NA,-22.1,15.14,154,-18.8,15.91,157,"40% improvement from baseline score",91,154,NA,76,157,NA,"post",8,"y","ADHD, enuresis, GAD","USA","12 to 17",14.7,14.5,59.4,58.6,"mdd","Has two response criteria (40% improvement, and CGI-I)",NA,NA,NA,NA,NA,NA
"29",29,"Emslie","2009.0",0,"Escitalopram","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",99,154,NA,83,157,NA,"post",8,"y","ADHD, enuresis, GAD","USA","12 to 17",14.7,14.5,59.4,58.6,"mdd",NA,NA,NA,NA,NA,NA,NA
"30",30,"Emslie","2014.0",0,"Duloxetine","Placebo","CDRS",1,1,"clinician",59.3,10.9,108,58.2,9.4,122,35,NA,105,37.4,NA,117,-23.9,NA,105,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",12.9,13.1,55.6,56.6,"mdd","*Had four conditions (duloxetine 60mg, duloxetine 30mg, fluoxetine 20mg, placebo)",NA,NA,NA,NA,NA,NA
"31",31,"Emslie","2014.0",0,"Duloxetine","Placebo","CDRS",1,1,"clinician",59.8,11,116,58.2,9.4,122,34.4,NA,114,37.4,NA,117,-24.6,NA,114,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",12.9,13.1,40.5,56.6,"mdd",NA,NA,NA,NA,NA,NA,NA
"32",32,"Emslie","2014.0",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",57.9,10.1,117,58.2,9.4,122,36.4,NA,112,37.4,NA,117,-22.6,NA,112,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.61,NA,NA,0.6,"post",10,"n","NA","USA, Mexico, Canada, Argentina","7 to 17",13,13.1,52.1,56.6,"mdd",NA,NA,NA,NA,NA,NA,NA
"33",33,"Findling","2009.0",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",53,9.84,18,53.94,9.84,16,34.6,13.66,18,31.31,13.68,16,-18.4,12.47,18,-22.63,12.48,16,"30% improvement from baseline",NA,NA,0.72,NA,16,0.81,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,16.35,22,6,"mdd",NA,5,2,8,14,9,6
"34",34,"Findling","2009.0",0,"Fluoxetine","Placebo","BDI",0,0,"self-report",17.2,13.15,18,13,13.32,16,7.62,7.59,15,8.12,7.61,13,-9.58,12.74,15,-4.88,12.76,13,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,16.35,22,6,"mdd",NA,7,8,13,7,9,10
"35",35,"Findling","2009.0",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",9,18,NA,6,16,NA,"post",8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,16.35,22,6,"mdd",NA,NA,NA,NA,NA,NA,NA
"36",36,"Geller","1990.0",0,"Nortriptyline","Placebo","GAS",0,0,"clinician",37.6,3.8,12,38.6,3.9,19,54.2,14.9,12,48.9,16.2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Melancholia, separation anxiety, antisocial behaviour","USA","12 to 17",14.3,14.3,75,42.1,"mdd",NA,0,0,1,1,0,0
"37",37,"Geller","1990.0",0,"Nortriptyline","Placebo","CDRS",1,1,"clinician",51.3,4.4,12,52.4,3.7,19,34.7,7.8,12,37.8,9.1,19,NA,NA,NA,NA,NA,NA,"CDRS score of ≤25",1,12,NA,4,19,NA,"post",8,"y","Melancholia, separation anxiety, antisocial behaviour","USA","12 to 17",14.3,14.3,75,42.1,"mdd",NA,2,2,7,9,7,9
"38",38,"Geller","1992.0",0,"Nortriptyline","Placebo","CDRS",1,1,"clinician",49.9,4.2,26,49.6,4.6,24,32.9,11.4,26,32,9.8,24,NA,NA,NA,NA,NA,NA,"CDRS score of ≤20",8,26,NA,4,24,NA,"post",8,"n","NA","USA","6 to 12",9.7,9.7,26.9,33.3,"mdd",NA,6,4,14,12,11,11
"39",39,"Geller","1992.0",0,"Nortriptyline","Placebo","K-SADS-L",0,0,"clinician",3.98,0.42,26,3.89,0.5,24,2.41,0.81,26,2.2,0.78,24,NA,NA,NA,NA,NA,NA,"Scores of 1 or 2 on all MDD items on the K-SADS",12,26,NA,14,24,NA,"post",8,"n","NA","USA","6 to 12",9.7,9.7,26.9,33.3,"mdd",NA,7,9,20,19,17,13
"40",40,"Hughes","1990.0",0,"Imipramine","Placebo","CDRS",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",4,7,NA,1,5,NA,"post",6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"41",41,"Hughes","1990.0",0,"Imipramine","Placebo","CDRS",1,1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",2,6,NA,6,9,NA,"post",6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
"42",42,"Keller","2001.0",0,"Paroxetine","Placebo","HAM-D",1,1,"clinician",18.98,4.15,93,18.97,4.1,87,8.24,7.68,90,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",60,90,NA,48,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,15.1,62.4,65.5,"mdd",NA,55,44,75,63,68,49
"43",43,"Keller","2001.0",0,"Paroxetine","Placebo","K-SADS-L",0,0,"clinician",28.25,5.01,93,28.84,4.85,87,16.59,7.65,83,19.27,7.65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,15.1,62.4,65.5,"mdd",NA,32,20,53,49,52,36
"44",44,"Keller","2001.0",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",59,90,NA,42,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.8,15.1,62.4,65.5,"mdd",NA,NA,NA,NA,NA,NA,NA
"45",45,"Keller","2001.0",0,"Imipramine","Placebo","HAM-D",1,1,"clinician",18.11,4.19,95,18.97,4.1,87,9.2,7.85,94,9.88,7.74,87,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",55,94,NA,48,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,15.1,58.9,65.5,"mdd",NA,46,40,66,63,60,57
"46",46,"Keller","2001.0",0,"Imipramine","Placebo","K-SADS-L",0,0,"clinician",27.54,4.97,95,28.84,4.85,87,17.99,7.79,88,19.27,7.65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,15.1,58.9,65.5,"mdd",NA,30,17,52,41,41,39
"47",47,"Keller","2001.0",0,"Imipramine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",49,94,NA,42,87,NA,"post",8,"y","Anxiety disorders (e.g. separation anxiety, social anxiety disorder) and externalising disorders","USA + Canada","12 to 18",14.9,15.1,58.9,65.5,"mdd",NA,NA,NA,NA,NA,NA,NA
"48",48,"Klein","1998.0",0,"Desipamine","Placebo","HAM-D",1,1,"clinician",21.44,3.7,23,21.33,5.2,22,10.23,2.1,18,14.61,2.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",15.66,15.66,67,67,"mdd",NA,8,1,18,13,17,4
"49",49,"Klein","1998.0",0,"Desipamine","Placebo","BDI",0,0,"clinician",24.62,9.4,23,21.57,11.1,22,12,9.6,16,15.92,9.6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",15.66,15.66,67,67,"mdd",NA,10,5,11,5,11,6
"50",50,"Klein","1998.0",0,"Desipamine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",12,18,NA,9,18,NA,"post",6,"y","Anxiety disorders and behaviour disorders","USA","13 to 18",15.66,15.66,67,67,"mdd",NA,NA,NA,NA,NA,NA,NA
"51",51,"Kutcher","1994.0",0,"Desipramine","Placebo","HAM-D",1,1,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",NA,NA,0.48,NA,NA,0.35,"post",6,"n","NA","Canada","15 to 20",17.8,17.8,70,70,"mdd",NA,9,13,11,17,12,15
"52",52,"Kutcher","1994.0",0,"Desipramine","Placebo","HAM-D",1,1,"clinician",22.63,5.17,30,23.77,5.31,30,12.68,8.68,17,13.42,8.43,25,NA,NA,NA,NA,NA,NA,"Dichotomous outcome variable (well/ill). Final HAM-D score of 7 or less indicated well",NA,NA,0.28,NA,NA,NA,"post",6,"n","NA","Canada","15 to 20",17.8,17.8,70,70,"mdd",NA,7,12,12,19,8,16
"53",53,"Kutcher","1994.0",0,"Desipramine","Placebo","BDI",0,0,"self-report",NA,NA,30,NA,NA,30,13.3,NA,17,17.2,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",6,"n","NA","Canada","15 to 20",17.8,17.8,70,70,"mdd",NA,NA,NA,NA,NA,NA,NA
"54",54,"Kye","1996.0",0,"Amitriptyline","Placebo","K-SADS-L",1,0,"clinician",20.7,4.3,18,18.7,2.2,13,15.7,5.3,12,15.6,4.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",8,"n","NA","USA","12 to 17",14.6,15.1,27.7,30.8,"mdd",NA,2,0,4,2,3,2
"55",55,"Kye","1996.0",0,"Amitriptyline","Placebo","HAM-D",1,1,"clinician",12,4.5,18,13.2,4.1,13,8,4.9,12,8.8,4.5,10,NA,NA,NA,NA,NA,NA,"50% improvement",13,18,NA,11,13,NA,"post",8,"n","NA","USA","12 to 17",14.6,15.1,27.7,30.8,"mdd",NA,7,5,7,2,6,4
"56",56,"March","2004.0",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",58.94,4,109,61.18,4.27,112,36.3,8.18,109,41.77,7.99,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",14.6,14.6,54.4,54.4,"mdd",NA,17,6,73,57,70,46
"57",57,"March","2004.0",0,"Fluoxetine","Placebo","RADS",1,0,"clinician",76.96,9.57,109,81.26,9.22,112,60.58,13.07,109,66.68,11.41,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",14.6,14.6,54.4,54.4,"mdd",NA,7,0,31,21,25,6
"58",58,"March","2004.0",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",66,109,NA,39,112,NA,"post",12,"y","Anxiety, disruptive behaviour, obsessive-compulsice/tic, substance use, attention-deficit/hyperactivity","USA","12 to 17",14.6,14.6,54.4,54.4,"mdd",NA,NA,NA,NA,NA,NA,NA
"59",59,"Paxil (GlaxoSmithKline)","2009.0",0,"Paroxetine","Placebo","CDRS",1,1,"clinician",NA,NA,29,NA,NA,27,NA,NA,29,NA,NA,27,-16.5,13.19,29,-11.9,13.2,27,NA,NA,NA,NA,NA,NA,NA,"post",8,"n","NA","Japan","7 to 17",14.4,14.8,55.2,66.7,"mdd",NA,NA,NA,NA,NA,NA,NA
"60",60,"Paxil (GlaxoSmithKline)","2009.0",0,"Paroxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",15,29,NA,11,27,NA,"post",8,"n","NA","Japan","7 to 17",14.4,14.8,55.2,66.7,"mdd",NA,NA,NA,NA,NA,NA,NA
"61",61,"Puig-Antich","1987.0",0,"Imipramine","Placebo","K-SADS-L",1,1,"clinician",3.1,0.43,20,3,0.66,22,1.9,0.68,16,1.9,0.86,22,NA,NA,NA,NA,NA,NA,"Responder: if K-SADS scores in both depressed mood and anhedonia were ≤2. Non-responder: if K-SADS score for at least one of these two key items were ≥3.",9,16,NA,15,22,NA,"post",5,"n","NA","USA","missing",9.03,9.18,62.5,59,"mdd",NA,6,9,11,11,5,14
"62",62,"Von Knorring","2006.0",0,"Citalopram","Placebo","K-SADS-L",1,0,"clinician",32,5,124,32,5,120,NA,NA,79,NA,NA,74,NA,NA,NA,NA,NA,NA,"K-SADS depression and anhedonia scores ≤2",NA,NA,0.6,NA,NA,0.61,"post",12,"n","NA","European, multi-centered (31 recruitment sites)","13 to 18",16,16,NA,NA,"mdd",NA,NA,NA,NA,NA,NA,NA
